,Indicator,year,Indicator_no,Total_pregnant_women_registered_ANC,Total_registered_within_first_trimester,Total_registered_under_JSY,Perc_1st_Trimester_regis_to_Total_ANC_regis,Perc_JSY_regis_total_ANC_regis,Total_received_3_ANC_check_ups,Booster_given_numbers,Perc_received_3_ANC_check_ups_to_Total_ANC_regis,Perc_received_Booster_to_Total_ANC_regis,Total_given_100_IFA_tablets,Perc_given_100_IFA_to_Total_ANC_regis,Number_having_Hb_level_11_tested_cases,Number_having_severe_anaemia_Hb_7_treated_at_institutin,Perc_having_severe_anaemia_Hb7_treated_at_institution_to_women_having_hb_level_11,Perc_New_cases_detected_at_institution_for_hypertension_to_Total_ANC_regis,Total_home_deliveries,home_deliveries_attended_by_SBA_trained_Doctor_Nurse,home_deliveries_attended_by_Non_SBA_trained,Perc_SBA_attended_home_deliveries_to_Total_Reported_Home_Deliveries,Mothers_paid_JSY_incentive_for_home_deliveries,Perc_Mothers_paid_JSY_incentive_for_home_deliveries_to_Total_Reported_Home_Deliveries,Deliveries_Conducted_at_Public_Institutions,Institutional_deliveries_Public_Insts_Pvt_Insts,Perc_Institutional_Deliveries_to_total_ANC_registration,Total_reported_deliveries,Perc_Institutional_deliveries_to_Total_Reported_Deliveries,Perc_Safe_deliveries_to_Total_Reported_Deliveries,Perc_Home_deliveries_to_Total_Reported_Deliveries,Number_of_C_section_deliveries_conducted_at_public_facilities,Number_of_C_section_deliveries_conducted_at_private_facilities,Perc_C_section_deliveries_institutional_to_reported_institutional_deliveries,Perc_C_sections_conducted_at_public_facilities_to_Deliveries_conducted_at_public_facilities,Perc_C_sections_conducted_at_Private_facilities_to_Deliveries_conducted_at_private_facilities,Perc_Deliveries_conducted_at_Public_Institutions_to_Total_Institutional_Deliveries,Perc_Deliveries_conducted_at_Private_Institutions_to_Total_Institutional_Deliveries,Total_reported_live_births,Perc_Total_Live_Births_to_Total_Deliveries,Total_Number_of_reported_Still_Births,Perc_Live_birth_to_Reported.Birth,Number_of_Newborns_weighed_at_birth,Perc_Newborns_weighed_at_birth_to_live_birth,Number_of_Newborns_having_weight_less_than_2.5.kg,Perc_Newborns_having_weight_less_than_2.5.kg_to_Newborns_weighed_at_birth
90,GH Kasaragod,2014-15,5,763,569,248,74.6,32.5,703,5143,92.1,674,928,121.6,188,68,36.2,2.1,NA,NA,NA,NA,NA,NA,2732,10132,1327.9,10132,100,100,0,636,1667,22.7,23.3,22.5,27,73,10792,106.5,14,99.9,10792,100,348,3.2
91,Kumbla CHCArea,2014-15,5,3513,2637,994,75.1,28.3,3216,2194,91.5,62.5,2710,77.1,636,0,0,2.2,7,0,7,0,0,0,0,1849,52.6,1856,99.6,99.6,0.4,0,560,30.3,NA,30.3,0,100,1867,100.6,7,99.6,1866,99.9,178,9.5
92,Mangalapady CHCArea,2014-15,5,3707,2840,898,76.6,24.2,3498,901,94.4,24.3,3514,94.8,219,0,0,0.3,6,0,6,0,0,0,0,298,8,304,98,98,2,0,45,15.1,NA,15.1,0,100,303,99.7,3,99,302,99.7,25,8.3
93,Muliyar CHCArea,2014-15,5,3707,2735,952,73.8,25.7,3430,1280,92.5,34.5,3017,81.4,422,0,0,1.1,10,2,8,20,0,0,0,18,0.5,28,64.3,71.4,35.7,0,7,38.9,NA,38.9,0,100,28,100,0,100,28,100,3,10.7
94,Nileshwar CHCArea,2014-15,5,4888,4291,1746,87.8,35.7,4702,2294,96.2,46.9,4585,93.8,699,0,0,1.3,4,1,3,25,0,0,0,399,8.2,403,99,99.3,1,0,89,22.3,NA,22.3,0,100,401,99.5,2,99.5,401,100,22,5.5
95,Panathady CHCArea,2014-15,5,1853,1658,861,89.5,46.5,1833,1370,98.9,73.9,1632,88.1,326,0,0,1.9,2,0,2,0,0,0,0,0,0,2,0,0,100,0,0,NA,NA,NA,NA,NA,2,100,0,100,2,100,1,50
96,Periye CHCArea,2014-15,5,3252,2807,978,86.3,30.1,2952,3455,90.8,106.2,2972,91.4,471,0,0,2,1,0,1,0,0,0,0,4978,153.1,4979,100,100,0,0,1225,24.6,NA,24.6,0,100,5016,100.7,3,99.9,5016,100,430,8.6
98,Anchal CHCArea,2014-15,6,2049,1706,927,83.3,45.2,2046,1353,99.9,66,1937,94.5,90,0,0,3.7,5,1,4,20,0,0,0,683,33.3,688,99.3,99.4,0.7,0,383,56.1,NA,56.1,0,100,691,100.4,0,100,690,99.9,26,3.8
99,Chavara CHCArea,2014-15,6,1538,1336,791,86.9,51.4,1429,537,92.9,34.9,1491,96.9,10,0,0,0.7,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
100,District Hospital Kollam,2014-15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Kalakode CHCArea,2014-15,6,3405,2776,1986,81.5,58.3,3129,1516,91.9,44.5,2756,80.9,56,0,0,1.5,2,0,2,0,0,0,0,1461,42.9,1463,99.9,99.9,0.1,0,829,56.7,NA,56.7,0,100,1466,100.2,1,99.9,1466,100,60,4.1
102,Kulakkada CHCArea,2014-15,6,2299,1982,1137,86.2,49.5,2240,1378,97.4,59.9,2307,100.3,15,0,0,1.3,4,0,4,0,0,0,0,327,14.2,331,98.8,98.8,1.2,0,177,54.1,NA,54.1,0,100,332,100.3,0,100,329,99.1,9,2.7
103,Kulathupuzha CHCArea,2014-15,6,905,780,538,86.2,59.4,980,573,108.3,63.3,902,99.7,56,0,0,3.8,3,0,3,0,2,66.7,0,218,24.1,221,98.6,98.6,1.4,0,117,53.7,NA,53.7,0,100,221,100,0,100,220,99.5,3,1.4
104,Kundara CHCArea,2014-15,6,1589,1337,931,84.1,58.6,1479,827,93.1,52,1585,99.7,24,0,0,1.1,1,0,1,0,0,0,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,0,0
105,Mynagappally CHCArea,2014-15,6,2642,2344,1576,88.7,59.7,2666,2287,100.9,86.6,2598,98.3,20,0,0,0.2,0,0,0,NA,0,NA,0,1231,46.6,1231,100,100,0,0,635,51.6,NA,51.6,0,100,1237,100.5,0,100,1237,100,84,6.8
106,Nedumoncavu CHCArea,2014-15,6,2189,1817,1063,83,48.6,1982,1442,90.5,65.9,2197,100.4,104,0,0,1.6,2,0,2,0,0,0,0,1123,51.3,1125,99.8,99.8,0.2,0,662,58.9,NA,58.9,0,100,1132,100.6,2,99.8,1132,100,84,7.4
107,Neendakara CHCArea,2014-15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Nilamel CHCArea,2014-15,6,1509,1230,1072,81.5,71,1450,485,96.1,32.1,1498,99.3,36,0,0,1,4,0,4,0,0,0,0,0,0,4,0,0,100,0,NA,NA,NA,NA,NA,NA,4,100,0,100,4,100,2,50
109,Oachira CHCArea,2014-15,6,1446,1290,731,89.2,50.6,1427,2240,98.7,154.9,1320,91.3,51,0,0,2.4,0,0,0,NA,0,NA,0,3073,212.5,3073,100,100,0,0,1148,37.4,NA,37.4,0,100,3092,100.6,4,99.9,3092,100,112,3.6
110,Palathara CHCArea,2014-15,6,4321,3361,2278,77.8,52.7,3703,2360,85.7,54.6,3993,92.4,161,0,0,1.1,3,0,3,0,0,0,0,2420,56,2423,99.9,99.9,0.1,0,1572,65,NA,65,0,100,2433,100.4,4,99.8,2433,100,115,4.7
111,Pathanapuram CHCArea,2014-15,6,2180,1803,1030,82.7,47.2,2123,1606,97.4,73.7,2117,97.1,86,0,0,1.7,2,1,1,50,0,0,0,618,28.3,620,99.7,99.8,0.3,0,294,47.6,NA,47.6,0,100,624,100.6,0,100,624,100,5,0.8
112,Sooranadu CHCArea,2014-15,6,2206,1891,1202,85.7,54.5,1975,1113,89.5,50.5,2057,93.2,75,0,0,2,0,0,0,NA,0,NA,0,438,19.9,438,100,100,0,0,183,41.8,NA,41.8,0,100,438,100,0,100,438,100,13,3
113,THQH Kadakkal,2014-15,6,69,60,68,87,98.6,57,448,82.6,649.3,243,352.2,274,14,5.1,13,NA,NA,NA,NA,NA,NA,462,462,669.6,462,100,100,0,191,NA,41.3,41.3,NA,100,0,462,100,0,100,462,100,44,9.5
114,THQH Karunagappally,2014-15,6,84,54,45,64.3,53.6,68,557,81,663.1,79,94,1,0,0,0,NA,NA,NA,NA,NA,NA,1325,1325,1577.4,1325,100,100,0,572,NA,43.2,43.2,NA,100,0,1337,100.9,1,99.9,1337,100,142,10.6
115,THQH Kottarakara,2014-15,6,50,30,12,60,24,54,827,108,1654,579,1158,6,61,1016.7,0,NA,NA,NA,NA,NA,NA,1517,1776,3552,1776,100,100,0,878,228,62.3,57.9,88,85.4,14.6,1777,100.1,3,99.8,1777,100,168,9.5
116,THQH Punalur,2014-15,6,418,341,202,81.6,48.3,403,1908,96.4,456.5,418,100,92,10,10.9,13.9,NA,NA,NA,NA,NA,NA,1205,3011,720.3,3011,100,100,0,320,999,43.8,26.6,55.3,40,60,3031,100.7,2,99.9,3031,100,165,5.4
117,THQH Sasthamkottah,2014-15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,Thekkumbhagam CHCArea,2014-15,6,876,710,386,81.1,44.1,835,856,95.3,97.7,865,98.7,14,0,0,0.5,0,0,0,NA,0,NA,0,8,0.9,8,100,100,0,0,7,87.5,NA,87.5,0,100,8,100,0,100,8,100,1,12.5
119,Thrikkadavoor CHCArea,2014-15,6,2170,1859,1198,85.7,55.2,2121,803,97.7,37,2254,103.9,19,0,0,1.2,3,0,3,0,0,0,0,501,23.1,504,99.4,99.4,0.6,0,255,50.9,NA,50.9,0,100,503,99.8,1,99.8,503,100,30,6
120,Velinalloor CHCArea,2014-15,6,1689,1526,824,90.3,48.8,1718,893,101.7,52.9,1677,99.3,18,0,0,0.7,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
121,Women and Children Hospital Victoria Hl Kollam,2014-15,6,889,751,625,84.5,70.3,775,2849,87.2,320.5,1322,148.7,5369,61,1.1,20.8,NA,NA,NA,NA,NA,NA,5610,10259,1154,10259,100,100,0,3014,3118,59.8,53.7,67.1,54.7,45.3,10352,100.9,27,99.7,10352,100,1236,11.9
123,Arunootimangalam CHCArea,2014-15,7,692,573,382,82.8,55.2,628,232,90.8,33.5,649,93.8,16,0,0,0.6,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
124,Athirampuzha BPHCArea,2014-15,7,1634,1331,593,81.5,36.3,1520,345,93,21.1,1293,79.1,2,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
125,Edamaruku CHCArea,2014-15,7,1768,1512,882,85.5,49.9,1761,918,99.6,51.9,1513,85.6,0,0,NA,0.2,1,0,1,0,0,0,0,41,2.3,42,97.6,97.6,2.4,0,12,29.3,NA,29.3,0,100,42,100,0,100,42,100,0,0
126,Edayazham CHCArea,2014-15,7,1530,1297,1215,84.8,79.4,1445,602,94.4,39.3,1365,89.2,50,0,0,0.3,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
127,Edayirickapuzha CHCArea,2014-15,7,1257,1056,560,84,44.6,1157,440,92,35,1100,87.5,0,0,NA,0,0,0,0,NA,0,NA,0,110,8.8,110,100,100,0,0,70,63.6,NA,63.6,0,100,110,100,0,100,110,100,0,0
128,Erumely CHCArea,2014-15,7,2376,1777,1283,74.8,54,2263,2182,95.2,91.8,2379,100.1,8,0,0,0.1,2,0,2,0,0,0,0,1985,83.5,1987,99.9,99.9,0.1,0,761,38.3,NA,38.3,0,100,1992,100.3,1,99.9,1992,100,27,1.4
129,GH Kanjirappally,2014-15,7,38,33,24,86.8,63.2,36,579,94.7,1523.7,195,513.2,563,0,0,60.5,0,0,0,NA,0,NA,85,770,2026.3,770,100,100,0,24,406,55.8,28.2,59.3,11,89,774,100.5,1,99.9,774,100,81,10.5
130,General Hospital Changanassery,2014-15,7,376,249,328,66.2,87.2,292,655,77.7,174.2,364,96.8,28,0,0,2.4,0,0,0,NA,0,NA,1004,2169,576.9,2169,100,100,0,481,565,48.2,47.9,48.5,46.3,53.7,2182,100.6,0,100,2182,100,87,4
131,General Hospital Pala,2014-15,7,189,150,187,79.4,98.9,175,1329,92.6,703.2,719,380.4,53,0,0,58.7,0,0,0,NA,0,NA,820,1902,1006.3,1902,100,100,0,346,566,47.9,42.2,52.3,43.1,56.9,1904,100.1,3,99.8,1904,100,73,3.8
132,ICH Kottayam,2014-15,7,0,0,0,NA,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
133,KMCH Ettumanoor BPHCArea,2014-15,7,486,375,228,77.2,46.9,444,2255,91.4,464,256,52.7,676,7,1,76.5,0,0,0,NA,0,NA,0,3967,816.3,3967,100,100,0,0,1595,40.2,NA,40.2,0,100,4031,101.6,15,99.6,4031,100,491,12.2
134,Karukachal CHCArea,2014-15,7,2310,1819,1939,78.7,83.9,2214,1179,95.8,51,1636,70.8,10,0,0,0.2,2,1,1,50,1,50,0,953,41.3,955,99.8,99.9,0.2,0,578,60.7,NA,60.7,0,100,963,100.8,0,100,963,100,44,4.6
135,Koodalloor CHCArea,2014-15,7,1023,824,513,80.5,50.1,921,472,90,46.1,657,64.2,74,0,0,10.2,0,0,0,NA,0,NA,0,637,62.3,637,100,100,0,0,232,36.4,NA,36.4,0,100,645,101.3,5,99.2,645,100,75,11.6
136,Kumarakom CHCArea,2014-15,7,1587,1369,750,86.3,47.3,1446,821,91.1,51.7,1340,84.4,7,0,0,0.3,0,0,0,NA,0,NA,0,1073,67.6,1073,100,100,0,0,567,52.8,NA,52.8,0,100,1076,100.3,0,100,1076,100,58,5.4
137,Medical College Hospital,2014-15,7,62,34,62,54.8,100,64,1498,103.2,2416.1,159,256.5,216,11,5.1,574.2,NA,NA,NA,NA,NA,NA,5545,5545,8943.5,5545,100,100,0,1895,NA,34.2,34.2,NA,100,0,5513,99.4,134,97.6,5513,100,1698,30.8
138,Medical College Hospital Kottayam,2014-15,7,516,340,321,65.9,62.2,516,1257,100,243.6,809,156.8,312,16,5.1,2.7,0,0,0,NA,0,NA,1492,3860,748.1,3860,100,100,0,877,1527,62.3,58.8,64.5,38.7,61.3,3875,100.4,7,99.8,3875,100,394,10.2
139,Mundankunnu BPHCArea,2014-15,7,966,813,616,84.2,63.8,973,346,100.7,35.8,903,93.5,2,NA,0,0.4,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
140,Paika Elikulam MC CHCArea,2014-15,7,435,361,160,83,36.8,451,264,103.7,60.7,447,102.8,3,0,0,0.2,1,0,1,0,1,100,0,0,0,1,0,0,100,0,NA,NA,NA,NA,NA,NA,1,100,0,100,1,100,0,0
141,Panachikkadu BPHCArea,2014-15,7,1175,997,568,84.9,48.3,1097,387,93.4,32.9,1077,91.7,3,0,0,0,1,0,1,0,0,0,0,19,1.6,20,95,95,5,0,12,63.2,NA,63.2,0,100,20,100,0,100,20,100,3,15
142,THQH Kuravilangadu,2014-15,7,0,0,0,NA,NA,0,6,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
143,THQH Pampady,2014-15,7,38,26,12,68.4,31.6,51,95,134.2,250,147,386.8,0,0,NA,0,0,0,0,NA,0,NA,1,1,2.6,1,100,100,0,0,NA,0,0,NA,100,0,1,100,0,100,1,100,1,100
144,THQH Vaikom,2014-15,7,150,135,148,90,98.7,147,371,98,247.3,122,81.3,1,0,0,0,0,0,0,NA,0,NA,671,708,472,708,100,100,0,401,35,61.6,59.8,94.6,94.8,5.2,710,100.3,0,100,710,100,43,6.1
145,Thalayolaparambu CHCArea,2014-15,7,1077,877,680,81.4,63.1,973,600,90.3,55.7,1031,95.7,6,0,0,0,0,0,0,NA,0,NA,0,493,45.8,493,100,100,0,0,287,58.2,NA,58.2,0,100,496,100.6,0,100,496,100,0,0
146,Ullanad CHCArea,2014-15,7,1104,878,530,79.5,48,1043,889,94.5,80.5,970,87.9,10,0,0,0.6,0,0,0,NA,0,NA,0,1080,97.8,1080,100,100,0,0,458,42.4,NA,42.4,0,100,1080,100,0,100,1080,100,57,5.3
147,Uzhavoor Speciality BPHCArea,2014-15,7,594,479,351,80.6,59.1,564,281,94.9,47.3,547,92.1,7,0,0,0,0,0,0,NA,0,NA,0,160,26.9,160,100,100,0,0,65,40.6,NA,40.6,0,100,159,99.4,1,99.4,159,100,20,12.6
148,x,2014-15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Balussery CHC Area,2014-15,8,2110,1761,1694,83.5,80.3,2059,1688,97.6,80,2028,96.1,83,0,0,1.2,2,0,2,0,0,0,0,419,19.9,421,99.5,99.5,0.5,0,105,25.1,NA,25.1,0,100,419,99.5,0,100,419,100,2,0.5
151,Cheroopa BPHC Area,2014-15,8,1838,1460,1601,79.4,87.1,1459,1207,79.4,65.7,1516,82.5,218,0,0,0.7,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
152,Cheruvady BPHC Area,2014-15,8,2946,2489,2941,84.5,99.8,2756,1438,93.6,48.8,2688,91.2,150,0,0,1.9,3,0,3,0,0,0,0,138,4.7,141,97.9,97.9,2.1,0,63,45.7,NA,45.7,0,100,141,100,0,100,141,100,15,10.6
153,Cheruvannoor BPHC Area,2014-15,8,3108,2464,2885,79.3,92.8,2941,2913,94.6,93.7,2854,91.8,506,0,0,2.7,0,0,0,NA,0,NA,0,1276,41.1,1276,100,100,0,0,382,29.9,NA,29.9,0,100,1276,100,0,100,1276,100,7,0.5
154,Govt Hospital Vatakara,2014-15,8,995,577,995,58,100,676,1761,67.9,177,993,99.8,115,0,0,7.1,NA,NA,NA,NA,NA,NA,107,2087,209.7,2087,100,100,0,18,837,41,16.8,42.3,5.1,94.9,2100,100.6,0,100,2100,100,162,7.7
155,Govt Hospital Koyilandy,2014-15,8,157,134,157,85.4,100,136,704,86.6,448.4,114,72.6,28,0,0,10.8,NA,NA,NA,NA,NA,NA,79,79,50.3,79,100,100,0,0,0,0,0,NA,100,0,79,100,0,100,79,100,5,6.3
156,Kuttiyady CHC Area,2014-15,8,4223,3459,2612,81.9,61.9,3968,2358,94,55.8,4075,96.5,323,0,0,0.7,1,1,0,100,0,0,841,1940,45.9,1941,99.9,100,0.1,346,252,30.8,41.1,22.9,43.4,56.6,1939,99.9,3,99.8,1939,100,30,1.5
157,Medical College Hospital Calicut,2014-15,8,1969,1138,1948,57.8,98.9,1470,3325,74.7,168.9,1830,92.9,298,24,8.1,6.6,NA,NA,NA,NA,NA,NA,16598,29245,1485.3,29245,100,100,0,5901,5743,39.8,35.6,45.4,56.8,43.2,30077,102.8,488,98.4,30077,100,4739,15.8
158,Melady BPHC Area,2014-15,8,2831,2436,2798,86,98.8,2559,2039,90.4,72,2661,94,203,0,0,1.4,0,0,0,NA,0,NA,0,1,0,1,100,100,0,0,0,0,NA,0,0,100,1,100,0,100,1,100,0,0
159,Mukkom CHC Area,2014-15,8,2584,2175,1970,84.2,76.2,2415,2400,93.5,92.9,2504,96.9,165,0,0,1,9,2,7,22.2,0,0,2,2416,93.5,2425,99.6,99.7,0.4,0,844,34.9,0,35,0.1,99.9,2431,100.2,5,99.8,2431,100,136,5.6
160,Narikkunni CHC Area,2014-15,8,6048,4704,5827,77.8,96.3,5426,4966,89.7,82.1,5672,93.8,226,0,0,1.4,1,0,1,0,0,0,1357,5887,97.3,5888,100,100,0,257,1310,26.6,18.9,28.9,23.1,76.9,5922,100.6,9,99.8,5922,100,679,11.5
161,Olavanna BPHC Area,2014-15,8,2646,2164,2640,81.8,99.8,2609,2213,98.6,83.6,2492,94.2,156,9,5.8,1.6,0,0,0,NA,0,NA,0,2451,92.6,2451,100,100,0,0,867,35.4,NA,35.4,0,100,2474,100.9,2,99.9,2474,100,62,2.5
162,Orkkattery CHC Area,2014-15,8,2135,1735,2128,81.3,99.7,1894,827,88.7,38.7,2076,97.2,244,0,0,1.6,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
163,Perambra CHC Area,2014-15,8,2961,2501,2913,84.5,98.4,2580,1816,87.1,61.3,2550,86.1,358,0,0,1.4,1,0,1,0,0,0,156,156,5.3,157,99.4,99.4,0.6,0,0,0,0,NA,100,0,156,99.4,1,99.4,156,100,23,14.7
164,Thalakkulathur CHC Area,2014-15,8,2124,1773,1912,83.5,90,1942,1189,91.4,56,1842,86.7,160,0,0,0.9,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
165,Thiruvallur CHC Area,2014-15,8,2352,1941,2343,82.5,99.6,2322,1323,98.7,56.3,2406,102.3,159,0,0,1.2,0,0,0,NA,0,NA,0,100,4.3,100,100,100,0,0,30,30,NA,30,0,100,98,98,2,98,98,100,0,0
166,Thiruvangoor BPHC Area,2014-15,8,1759,1438,1638,81.8,93.1,1591,887,90.4,50.4,1683,95.7,115,0,0,0.4,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
167,Ulliyeri CHC Area,2014-15,8,1944,1670,1927,85.9,99.1,1836,1007,94.4,51.8,1916,98.6,123,0,0,1.1,0,0,0,NA,0,NA,0,180,9.3,180,100,100,0,0,92,51.1,NA,51.1,0,100,179,99.4,3,98.4,179,100,25,14
168,Valayam BPHC Area,2014-15,8,2370,1935,2328,81.6,98.2,2042,688,86.2,29,2376,100.3,66,0,0,0.3,0,0,0,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA
169,W and C Hospital Calicut,2014-15,8,2207,1631,2207,73.9,100,2147,4701,97.3,213,2082,94.3,258,22,8.5,6.5,NA,NA,NA,NA,NA,NA,5920,10362,469.5,10362,100,100,0,2554,2607,49.8,43.1,58.7,57.1,42.9,10428,100.6,8,99.9,10426,100,703,6.7
171,Chungathara BPHCArea,2014-15,9,5912,5023,5129,85,86.8,5267,2988,89.1,50.5,5532,93.6,851,9,1.1,0.3,49,0,49,0,3,6.1,0,1671,28.3,1720,97.2,97.2,2.8,0,463,27.7,NA,27.7,0,100,1717,99.8,4,99.8,1717,100,151,8.8
172,District Hospital Manjeri,2014-15,9,2100,1359,1191,64.7,56.7,1294,2650,61.6,126.2,2060,98.1,474,42,8.9,29.5,NA,NA,NA,NA,NA,NA,4138,9591,456.7,9591,100,100,0,750,1448,22.9,18.1,26.6,43.1,56.9,9662,100.7,13,99.9,9662,100,1252,13
173,Edavanna BPHCArea,2014-15,9,5350,4637,4541,86.7,84.9,4479,2128,83.7,39.8,5171,96.7,1398,5,0.4,0.5,30,0,30,0,0,0,126,439,8.2,469,93.6,93.6,6.4,0,70,15.9,0,22.4,28.7,71.3,465,99.1,5,98.9,465,100,25,5.4
174,Kondotty BPHCArea,2014-15,9,5454,4351,3545,79.8,65,4642,3142,85.1,57.6,7664,140.5,1309,39,3,4.3,7,0,7,0,0,0,0,4922,90.2,4929,99.9,99.9,0.1,0,749,15.2,NA,15.2,0,100,4937,100.2,2,100,4937,100,385,7.8
175,Kuttippuram BPHCArea,2014-15,9,5238,4168,1318,79.6,25.2,4230,1994,80.8,38.1,4650,88.8,460,2,0.4,0.6,2,0,2,0,0,0,0,3323,63.4,3325,99.9,99.9,0.1,0,1137,34.2,NA,34.2,0,100,3336,100.3,0,100,3336,100,262,7.9
176,Mankada BPHCArea,2014-15,9,7759,6194,2512,79.8,32.4,6672,4008,86,51.7,6998,90.2,685,23,3.4,0.7,12,0,12,0,0,0,0,2013,25.9,2025,99.4,99.4,0.6,0,1054,52.4,NA,52.4,0,100,2030,100.2,34,98.4,2030,100,334,16.5
177,Marancherry BPHCArea,2014-15,9,3693,3007,1275,81.4,34.5,3288,1828,89,49.5,3631,98.3,336,0,0,1.5,0,0,0,NA,0,NA,0,1327,35.9,1327,100,100,0,0,462,34.8,NA,34.8,0,100,1329,100.2,3,99.8,1329,100,100,7.5
178,Melattur BPHCArea,2014-15,9,5800,5005,1943,86.3,33.5,4957,5530,85.5,95.3,9078,156.5,2099,18,0.9,12,7,0,7,0,0,0,0,4661,80.4,4668,99.9,99.9,0.1,0,2630,56.4,NA,56.4,0,100,4695,100.6,22,99.5,4695,100,911,19.4
179,Neduva BPHCArea,2014-15,9,6820,5414,2622,79.4,38.4,5943,6133,87.1,89.9,6165,90.4,254,0,0,0.3,11,0,11,0,5,45.5,0,6556,96.1,6567,99.8,99.8,0.2,0,1442,22,NA,22,0,100,6630,101,3,100,6629,100,689,10.4
180,Ommannur BPHCArea,2014-15,9,4471,3685,3682,82.4,82.4,3989,2403,89.2,53.7,4125,92.3,546,6,1.1,0.5,7,1,6,14.3,0,0,0,463,10.4,470,98.5,98.7,1.5,0,41,8.9,NA,8.9,0,100,470,100,3,99.4,470,100,27,5.7
181,Pookottur BPHCArea,2014-15,9,6513,5239,2205,80.4,33.9,5647,8332,86.7,127.9,11699,179.6,991,0,0,5.2,16,3,13,18.8,0,0,0,7176,110.2,7192,99.8,99.8,0.2,0,1842,25.7,NA,25.7,0,100,7224,100.4,60,99.2,7224,100,1146,15.9
182,THQH Malappuram,2014-15,9,1010,558,194,55.2,19.2,901,6019,89.2,595.9,1610,159.4,2335,0,0,5.6,NA,NA,NA,NA,NA,NA,1234,8651,856.5,8651,100,100,0,290,1692,22.9,23.5,22.8,14.3,85.7,8643,99.9,21,99.8,8643,100,1381,16
183,THQH Nilambur,2014-15,9,43,35,6,81.4,14,67,2008,155.8,4669.8,1492,3469.8,2147,33,1.5,120.9,NA,NA,NA,NA,NA,NA,2721,2983,6937.2,2983,100,100,0,709,127,28,26.1,48.5,91.2,8.8,2985,100.1,4,99.9,2985,100,330,11.1
184,THQH Perinthalmanna,2014-15,9,78,65,0,83.3,0,88,3830,112.8,4910.3,1959,2511.5,1474,68,4.6,314.1,NA,NA,NA,NA,NA,NA,2457,6992,8964.1,6992,100,100,0,1203,1126,33.3,49,24.8,35.1,64.9,7008,100.2,12,99.8,7007,100,417,6
